split,image_shape,mask_shape,count
train_new,320x310x57,320x310x57,1
train_new,320x310x58,320x310x58,1
train_new,320x320x26,320x320x26,1
train_new,320x320x27,320x320x27,4
train_new,320x320x29,320x320x29,1
train_new,320x320x30,320x320x30,1
train_new,320x320x32,320x320x32,3
train_new,320x320x33,320x320x33,1
train_new,320x320x34,320x320x34,2
train_new,320x320x36,320x320x36,2
train_new,320x320x37,320x320x37,5
train_new,320x320x40,320x320x40,2
train_new,320x320x42,320x320x42,1
train_new,320x320x45,320x320x45,1
train_new,320x320x46,320x320x46,2
train_new,320x320x48,320x320x48,2
train_new,320x320x50,320x320x50,2
train_new,320x320x51,320x320x51,2
train_new,320x320x52,320x320x52,1
train_new,320x320x55,320x320x55,2
train_new,320x320x56,320x320x56,2
train_new,320x320x60,320x320x60,2
train_new,336x336x28,336x336x28,1
train_new,352x352x33,352x352x33,1
train_new,384x288x56,384x288x56,1
train_new,384x312x39,384x312x39,1
train_new,384x324x50,384x324x50,1
train_new,384x324x53,384x324x53,1
train_new,384x336x54,384x336x54,1
train_new,512x328x50,512x328x50,1
train_new,512x384x35,512x384x35,1
train_new,512x384x41,512x384x41,1
train_new,512x416x36,512x416x36,5
train_new,512x416x40,512x416x40,1
train_new,512x416x45,512x416x45,6
train_new,512x416x48,512x416x48,1
train_new,512x460x32,512x460x32,1
train_new,512x464x60,512x464x60,1
train_new,512x512x24,512x512x24,1
train_new,512x512x25,512x512x25,1
train_new,512x512x30,512x512x30,5
train_new,512x512x31,512x512x31,2
train_new,512x512x32,512x512x32,5
train_new,512x512x33,512x512x33,2
train_new,512x512x34,512x512x34,2
train_new,512x512x35,512x512x35,3
train_new,512x512x36,512x512x36,1
train_new,512x512x37,512x512x37,3
train_new,512x512x38,512x512x38,1
train_new,512x512x39,512x512x39,4
train_new,512x512x40,512x512x40,2
train_new,512x512x42,512x512x42,2
train_new,512x512x47,512x512x47,1
train_new,512x512x49,512x512x49,1
train_new,512x512x60,512x512x60,1
val_new,256x208x60,256x208x60,1
val_new,256x212x56,256x212x56,1
val_new,256x220x35,256x220x35,1
val_new,256x224x27,256x224x27,1
val_new,256x256x30,256x256x30,1
val_new,256x256x44,256x256x44,1
val_new,256x256x49,256x256x49,2
val_new,256x256x60,256x256x60,1
val_new,256x256x63,256x256x63,1
val_new,320x220x40,320x220x40,1
val_new,320x250x50,320x250x50,1
val_new,320x260x34,320x260x34,1
val_new,320x260x35,320x260x35,1
val_new,320x260x46,320x260x46,1
val_new,320x260x62,320x260x62,1
val_new,320x280x50,320x280x50,1
val_new,320x320x32,320x320x32,1
val_new,320x320x33,320x320x33,1
val_new,320x320x36,320x320x36,1
val_new,320x320x41,320x320x41,1
val_new,320x320x42,320x320x42,1
val_new,384x252x20,384x252x20,1
val_new,512x352x35,512x352x35,1
val_new,512x384x30,512x384x30,1
val_new,512x512x33,512x512x33,1
val_new,512x512x37,512x512x37,1
val_new,512x512x56,512x512x56,1
