split,source,image_shape,count,ratio_in_source
train_new,NYU,256x192x39,1,0.020833333333333332
train_new,NYU,256x208x50,1,0.020833333333333332
train_new,NYU,256x208x54,1,0.020833333333333332
train_new,NYU,256x208x59,1,0.020833333333333332
train_new,NYU,256x208x62,1,0.020833333333333332
train_new,NYU,256x216x53,1,0.020833333333333332
train_new,NYU,256x216x55,1,0.020833333333333332
train_new,NYU,256x224x56,1,0.020833333333333332
train_new,NYU,256x224x59,1,0.020833333333333332
train_new,NYU,256x224x67,1,0.020833333333333332
train_new,NYU,256x232x38,1,0.020833333333333332
train_new,NYU,256x232x51,1,0.020833333333333332
train_new,NYU,256x240x50,1,0.020833333333333332
train_new,NYU,256x256x33,1,0.020833333333333332
train_new,NYU,256x256x40,1,0.020833333333333332
train_new,NYU,256x256x46,1,0.020833333333333332
train_new,NYU,256x256x50,1,0.020833333333333332
train_new,NYU,256x256x53,1,0.020833333333333332
train_new,NYU,256x256x54,1,0.020833333333333332
train_new,NYU,256x256x55,1,0.020833333333333332
train_new,NYU,256x256x56,1,0.020833333333333332
train_new,NYU,256x256x57,1,0.020833333333333332
train_new,NYU,256x256x60,1,0.020833333333333332
train_new,NYU,256x256x66,1,0.020833333333333332
train_new,NYU,320x240x40,1,0.020833333333333332
train_new,NYU,320x240x45,1,0.020833333333333332
train_new,NYU,320x244x24,1,0.020833333333333332
train_new,NYU,320x260x40,1,0.020833333333333332
train_new,NYU,320x260x43,1,0.020833333333333332
train_new,NYU,320x280x102,1,0.020833333333333332
train_new,NYU,320x290x36,1,0.020833333333333332
train_new,NYU,320x290x41,1,0.020833333333333332
train_new,NYU,320x290x43,1,0.020833333333333332
train_new,NYU,320x320x34,1,0.020833333333333332
train_new,NYU,320x320x37,4,0.08333333333333333
train_new,NYU,320x320x40,1,0.020833333333333332
train_new,NYU,320x320x45,1,0.020833333333333332
train_new,NYU,320x320x46,2,0.041666666666666664
train_new,NYU,320x320x50,2,0.041666666666666664
train_new,NYU,320x320x56,1,0.020833333333333332
train_new,NYU,384x324x53,1,0.020833333333333332
train_new,NYU,512x384x41,1,0.020833333333333332
train_new,NYU,512x512x60,1,0.020833333333333332
val_new,AHN,256x220x35,1,0.5
val_new,AHN,256x224x27,1,0.5
val_new,CAD,256x256x30,1,0.5
val_new,CAD,256x256x44,1,0.5
val_new,EMC,384x252x20,1,0.25
val_new,EMC,512x384x30,1,0.25
val_new,EMC,512x512x33,1,0.25
val_new,EMC,512x512x37,1,0.25
val_new,IU,320x260x35,1,1.0
val_new,MCA,512x512x56,1,1.0
val_new,MCF,320x320x32,1,0.5
val_new,MCF,320x320x36,1,0.5
val_new,NU,256x208x60,1,0.125
val_new,NU,256x212x56,1,0.125
val_new,NU,256x256x60,1,0.125
val_new,NU,320x250x50,1,0.125
val_new,NU,320x260x34,1,0.125
val_new,NU,320x260x46,1,0.125
val_new,NU,320x280x50,1,0.125
val_new,NU,512x352x35,1,0.125
val_new,NYU,256x256x49,2,0.25
val_new,NYU,256x256x63,1,0.125
val_new,NYU,320x220x40,1,0.125
val_new,NYU,320x260x62,1,0.125
val_new,NYU,320x320x33,1,0.125
val_new,NYU,320x320x41,1,0.125
val_new,NYU,320x320x42,1,0.125
